TAID,Name,IUPAC Name,PubChem CID,SMILES,InChIKey,Toxicity Value,EPACategoryIndex,EPACategory,tox10,tox50,tox500,tox2000
TOX-145,hydroquinone,"benzene-1,4-diol",785,Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,244.9955497,2,50-500,0,0,1,1
TOX-245,thiotepa,tris(aziridin-1-yl)-sulfanylidene-lambda5-phosphane,5453,S=P(N1CC1)(N1CC1)N1CC1,FOCVUCIESVLUNU-UHFFFAOYSA-N,37.99919673,1,10-50,0,1,1,1
TOX-1273,lindane,"1,2,3,4,5,6-hexachlorocyclohexane",727,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,JLYXXMFPNIAWKQ-UHFFFAOYSA-N,54.62798786,2,50-500,0,0,1,1
TOX-1279,metformin,"3-(diaminomethylidene)-1,1-dimethylguanidine",4091,CN(C)C(=N)N=C(N)N,XZWYZXLIPXDOLR-UHFFFAOYSA-N,1449.921418,3,500-2000,0,0,0,1
TOX-1281,,3-phenylprop-2-enoic acid,8784,O=C(O)C=Cc1ccccc1,WBYWAXJHAXSJNI-UHFFFAOYSA-N,4999.966256,4,>2000,0,0,0,0
TOX-1285,Decanal,decanal,8175,CCCCCCCCCC=O,KSMVZQYAVGTKIV-UHFFFAOYSA-N,41747.59551,4,>2000,0,0,0,0
TOX-1287,,3-(2-methoxyphenyl)prop-2-enal,15173,COc1ccccc1C=CC=O,KKVZAVRSVHUSPL-UHFFFAOYSA-N,1999.901348,3,500-2000,0,0,0,1
TOX-1289,PAEONOL,1-(2-hydroxy-4-methoxyphenyl)ethanone,11092,COc1ccc(C(C)=O)c(O)c1,UILPJVPSNHJFIK-UHFFFAOYSA-N,489.9823078,2,50-500,0,0,1,1
TOX-1292,Glucoxy,"2-(3,4-dihydroxy-5-oxooxolan-2-yl)-2-hydroxyacetaldehyde",219402,O=CC(O)C1OC(=O)C(O)C1O,UYUXSRADSPPKRZ-UHFFFAOYSA-N,19999.54576,4,>2000,0,0,0,0
TOX-1301,ETHYL GALLATE,"ethyl 3,4,5-trihydroxybenzoate",13250,CCOC(=O)c1cc(O)c(O)c(O)c1,VFPFQHQNJCMNBZ-UHFFFAOYSA-N,5809.882729,4,>2000,0,0,0,0
TOX-1307,,"1-ethenyl-1-methyl-2,4-bis(prop-1-en-2-yl)cyclohexane",10583,C=CC1(C)CCC(C(=C)C)CC1C(=C)C,OPFTUNCRGUEPRZ-UHFFFAOYSA-N,4999.828733,4,>2000,0,0,0,0
TOX-1311,Melatonin,N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide,896,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,1249.983857,3,500-2000,0,0,0,1
TOX-1326,,"1,5,9-trimethyl-11,14,15,16-tetraoxatetracyclo[10.3.1.04,13.08,13]hexadecan-10-one",2240,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,BLUAFEHZUWYNDE-UHFFFAOYSA-N,4227.910149,4,>2000,0,0,0,0
TOX-1337,,5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one,3473,CCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1,NLDDIKRKFXEWBK-UHFFFAOYSA-N,250.007643,2,50-500,0,0,1,1
TOX-1338,EMBELIN,"2,5-dihydroxy-3-undecylcyclohexa-2,5-diene-1,4-dione",3218,CCCCCCCCCCCC1=C(O)C(=O)C=C(O)C1=O,IRSFLDGTOHBADP-UHFFFAOYSA-N,2000.061144,4,>2000,0,0,0,0
TOX-1342,,"3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",5538,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,SHGAZHPCJJPHSC-UHFFFAOYSA-N,2328.723315,4,>2000,0,0,0,0
TOX-1345,racanisodamine,(6-hydroxy-8-methyl-8-azabicyclo[3.2.1]octan-3-yl) 3-hydroxy-2-phenylpropanoate,2198,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,WTQYWNWRJNXDEG-UHFFFAOYSA-N,1600.136227,3,500-2000,0,0,0,1
TOX-1346,,N-[(4-hydroxy-3-methoxyphenyl)methyl]-8-methylnon-6-enamide,2548,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,YKPUWZUDDOIDPM-UHFFFAOYSA-N,47.19721827,1,10-50,0,1,1,1
TOX-1371,,"2-heptadec-10-enyl-6-methoxycyclohexa-2,5-diene-1,4-dione",124327,CCCCCCC=CCCCCCCCCCC1=CC(=O)C=C(OC)C1=O,YYCCUFKHCNSRIA-UHFFFAOYSA-N,2821.185429,4,>2000,0,0,0,0
TOX-1375,cholecalciferol (undefined stereochemistry),"3-[2-[7a-methyl-1-(6-methylheptan-2-yl)-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",2735,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,QYSXJUFSXHHAJI-UHFFFAOYSA-N,42.49469641,1,10-50,0,1,1,1
TOX-1379,,"10,11-dimethoxy-4a,5,5a,7,8,13a,15,15a,15b,16-decahydro-2H-4,6-methanoindolo[3,2,1-ij]oxepino[2,3,4-de]pyrrolo[2,3-h]quinolin-14-one",220520,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,RRKTZKIUPZVBMF-UHFFFAOYSA-N,150.0110274,2,50-500,0,0,1,1
TOX-1385,Gomisin A,"3,4,5,19-tetramethoxy-9,10-dimethyl-15,17-dioxatetracyclo[10.7.0.02,7.014,18]nonadeca-1(19),2,4,6,12,14(18)-hexaen-9-ol",634470,COc1cc2c(c(OC)c1OC)-c1c(cc3c(c1OC)OCO3)CC(C)C(C)(O)C2,ZWRRJEICIPUPHZ-UHFFFAOYSA-N,777.0559706,3,500-2000,0,0,0,1
TOX-1389,,"1,3,6,7-tetrahydroxy-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]xanthen-9-one",5358385,O=c1c2cc(O)c(O)cc2oc2cc(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c12,AEDDIBAIWPIIBD-UHFFFAOYSA-N,2.299771276,0,<10,1,1,1,1
TOX-1396,Folcidin,2-[[4-[(2-amino-4-oxo-3H-pteridin-6-yl)methylamino]benzoyl]amino]pentanedioic acid,135444779,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,OVBPIULPVIDEAO-UHFFFAOYSA-N,9999.90939,4,>2000,0,0,0,0
TOX-1443,,"22,33-dimethoxy-13,28-dimethyl-2,5,7,20-tetraoxa-13,28-diazaoctacyclo[25.6.2.216,19.13,10.121,25.04,8.031,35.014,39]nonatriaconta-1(33),3(39),4(8),9,16(38),17,19(37),21,23,25(36),31,34-dodecaene",360849,COc1ccc2cc1Oc1ccc(cc1)CC1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)C5C2)OCO4)CCN1C,YVPXVXANRNDGTA-UHFFFAOYSA-N,1899.940498,3,500-2000,0,0,0,1
TOX-1445,,"[2-(3,4-dihydroxyphenyl)-6-(hydroxymethyl)-8-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy-3,4a,6,7,8,8a-hexahydro-2H-pyrano[2,3-b][1,4]dioxin-7-yl] 3-(3,4-dihydroxyphenyl)prop-2-enoate",75055024,CC1OC(OC2C(OC(=O)C=Cc3ccc(O)c(O)c3)C(CO)OC3OCC(c4ccc(O)c(O)c4)OC32)C(O)C(O)C1O,FPOYEEKZOOLVJA-UHFFFAOYSA-N,5000.192753,4,>2000,0,0,0,0
TOX-1451,,"5-bromo-N-[2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4H-indolo[4,3-fg]quinoline-9-carboxamide",2443,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,OZVBMTJYIDMWIL-UHFFFAOYSA-N,799.9926667,3,500-2000,0,0,0,1
TOX-1459,,"[6-hydroxy-6-[16-hydroxy-4,4,9,13,14-pentamethyl-3,11-dioxo-2-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-8,10,12,15,16,17-hexahydro-7H-cyclopenta[a]phenanthren-17-yl]-2-methyl-5-oxohept-3-en-2-yl] acetate",301265,CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(OC5OC(CO)C(O)C(O)C5O)C(=O)C4(C)C)C3(C)C(=O)CC12C,QKEJRKXVLGOJMB-UHFFFAOYSA-N,39.99794109,1,10-50,0,1,1,1
TOX-1492,,"8-hydroxy-7-(hydroxymethyl)-5-(3,4,5-trimethoxyphenyl)-5,6,7,8-tetrahydrobenzo[f][1,3]benzodioxole-6-carboxylic acid",411658,COc1cc(C2c3cc4c(cc3C(O)C(CO)C2C(=O)O)OCO4)cc(OC)c1OC,XRBSKUSTLXISAB-UHFFFAOYSA-N,898.9480264,3,500-2000,0,0,0,1
TOX-1498,aconitine,"[8-acetyloxy-11-ethyl-5,7,14-trihydroxy-6,16,18-trimethoxy-13-(methoxymethyl)-11-azahexacyclo[7.7.2.12,5.01,10.03,8.013,17]nonadecan-4-yl] benzoate",2012,CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,XFSBVAOIAHNAPC-UHFFFAOYSA-N,1.265058874,0,<10,1,1,1,1
TOX-1509,,"[5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate",1287,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,WMBWREPUVVBILR-UHFFFAOYSA-N,1473.17233,3,500-2000,0,0,0,1
TOX-1518,Marini,"2-(2,4-dihydroxyphenyl)-5,7-dihydroxy-8-(5-methyl-2-prop-1-en-2-ylhex-4-enyl)-2,3-dihydrochromen-4-one",73198,C=C(C)C(CC=C(C)C)Cc1c(O)cc(O)c2c1OC(c1ccc(O)cc1O)CC2=O,XRYVAQQLDYTHCL-UHFFFAOYSA-N,2000.032982,4,>2000,0,0,0,0
TOX-1523,Cyclovirobuxine,"7,7,12,16-tetramethyl-6-(methylamino)-15-[1-(methylamino)ethyl]pentacyclo[9.7.0.01,3.03,8.012,16]octadecan-14-ol",4437077,CNC(C)C1C(O)CC2(C)C3CCC4C(C)(C)C(NC)CCC45CC35CCC12C,GMNAPBAUIVITMI-UHFFFAOYSA-N,293.0240122,2,50-500,0,0,1,1
TOX-1552,tetrahydropalmatine,"2,3,9,10-tetramethoxy-6,8,13,13a-tetrahydro-5H-isoquinolino[2,1-b]isoquinoline",5417,COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,AEQDJSLRWYMAQI-UHFFFAOYSA-N,1174.791862,3,500-2000,0,0,0,1
TOX-1566,,"19-ethyl-19-hydroxy-17-oxa-3,13-diazapentacyclo[11.8.0.02,11.04,9.015,20]henicosa-1(21),2,4,6,8,10,15(20)-heptaene-14,18-dione",2538,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1,VSJKWCGYPAHWDS-UHFFFAOYSA-N,33.18237311,1,10-50,0,1,1,1
TOX-1572,papaverine,"1-[(3,4-dimethoxyphenyl)methyl]-6,7-dimethoxyisoquinoline",4680,COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,XQYZDYMELSJDRZ-UHFFFAOYSA-N,145.1244878,2,50-500,0,0,1,1
TOX-1577,Ligularinine,"4-ethylidene-7-hydroxy-6,7-dimethyl-2,9-dioxa-14-azatricyclo[9.5.1.014,17]heptadecane-3,8-dione",163587,CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,BTHCJHQOYFUIMG-UHFFFAOYSA-N,2572.877993,4,>2000,0,0,0,0
