TAID,Name,IUPAC Name,PubChem CID,SMILES,InChIKey,Tox
TOX-75,minoxidil,3-hydroxy-2-imino-6-piperidin-1-ylpyrimidin-4-amine,4201.0,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],ZIMGGGWCDYVHOY-UHFFFAOYSA-N,0
TOX-90,dichlorphenamide,"4,5-dichlorobenzene-1,3-disulfonamide",3038.0,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,GJQPMPFPNINLKP-UHFFFAOYSA-N,0
TOX-94,allopurinol,"1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one",135401907.0,Oc1ncnc2[nH]ncc12,OFCNXPDARWKPPY-UHFFFAOYSA-N,0
TOX-98,hydrochlorothiazide,"6-chloro-1,1-dioxo-3,4-dihydro-2H-1lambda6,2,4-benzothiadiazine-7-sulfonamide",3639.0,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,JZUFKLXOESDKRF-UHFFFAOYSA-N,0
TOX-110,niclosamide,5-chloro-N-(2-chloro-4-nitrophenyl)-2-hydroxybenzamide,4477.0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,RJMUSRYZPJIFPJ-UHFFFAOYSA-N,0
TOX-122,mitoxantrone,"1,4-dihydroxy-5,8-bis[2-(2-hydroxyethylamino)ethylamino]anthracene-9,10-dione",4212.0,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,KKZJGLLVHKMTCM-UHFFFAOYSA-N,0
TOX-143,dapsone,4-(4-aminophenyl)sulfonylaniline,2955.0,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,MQJKPEGWNLWLTK-UHFFFAOYSA-N,0
TOX-145,hydroquinone,"benzene-1,4-diol",785.0,Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,0
TOX-158,clioquinol,5-chloro-7-iodoquinolin-8-ol,2788.0,Oc1c(I)cc(Cl)c2cccnc12,QCDFBFJGMNKBDO-UHFFFAOYSA-N,0
TOX-162,riluzole,"6-(trifluoromethoxy)-1,3-benzothiazol-2-amine",5070.0,Nc1nc2ccc(OC(F)(F)F)cc2s1,FTALBRSUTCGOEG-UHFFFAOYSA-N,0
TOX-163,cilostazol,"6-[4-(1-cyclohexyltetrazol-5-yl)butoxy]-3,4-dihydro-1H-quinolin-2-one",2754.0,O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1,RRGUKTPIGVIEKM-UHFFFAOYSA-N,0
TOX-183,clotrimazole,1-[(2-chlorophenyl)-diphenylmethyl]imidazole,2812.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,VNFPBHJOKIVQEB-UHFFFAOYSA-N,1
TOX-194,triamterene,"6-phenylpteridine-2,4,7-triamine",5546.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,FNYLWPVRPXGIIP-UHFFFAOYSA-N,0
TOX-195,phenindione,"2-phenylindene-1,3-dione",4760.0,O=C1c2ccccc2C(=O)C1c1ccccc1,NFBAXHOPROOJAW-UHFFFAOYSA-N,0
TOX-204,Phenelzine,2-phenylethylhydrazine,3675.0,NNCCc1ccccc1,RMUCZJUITONUFY-UHFFFAOYSA-N,1
TOX-230,hydralazine,phthalazin-1-ylhydrazine,3637.0,NNc1nncc2ccccc12,RPTUSVTUFVMDQK-UHFFFAOYSA-N,0
TOX-244,ifosfamide,"N,3-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",3690.0,O=P1(NCCCl)OCCCN1CCCl,HOMGKSMUEGBAAB-UHFFFAOYSA-N,0
TOX-249,isoniazid,pyridine-4-carbohydrazide,3767.0,NNC(=O)c1ccncc1,QRXWMOHMRWLFEY-UHFFFAOYSA-N,0
TOX-251,cyclophosphamide,"N,N-bis(2-chloroethyl)-2-oxo-1,3,2lambda5-oxazaphosphinan-2-amine",2907.0,O=P1(N(CCCl)CCCl)NCCCO1,CMSMOCZEIVJLDB-UHFFFAOYSA-N,0
TOX-270,iopamidol,"1-N,3-N-bis(1,3-dihydroxypropan-2-yl)-5-[[(2S)-2-hydroxypropanoyl]amino]-2,4,6-triiodobenzene-1,3-dicarboxamide",65492.0,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,XQZXYNRDCRIARQ-LURJTMIESA-N,0
TOX-378,decamethonium,trimethyl-[10-(trimethylazaniumyl)decyl]azanium,2968.0,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,MTCUAOILFDZKCO-UHFFFAOYSA-N,0
TOX-379,succinylcholine,trimethyl-[2-[4-oxo-4-[2-(trimethylazaniumyl)ethoxy]butanoyl]oxyethyl]azanium,5314.0,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,AXOIZCJOOAYSMI-UHFFFAOYSA-N,0
TOX-385,Diphemanil,"4-benzhydrylidene-1,1-dimethylpiperidin-1-ium",6127.0,C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,LCTZPQRFOZKZNK-UHFFFAOYSA-N,0
