SMILES,EPACategoryIndex,tox10,tox50,tox500,tox2000,tox,logtox
COc1ccc(C(=C(C#N)CCC(=O)O)c2ccc(OC)cc2)cc1,3,0,0,0,1,891.0660235,6.7924185251744404
OCCOCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,3,0,0,0,1,540.0451112,6.291652675328369
CC(=O)OO,2,0,0,1,1,209.9972388,5.347094382059597
CC(=O)Nc1ccc(C)cc1C,3,0,0,0,1,1300.000001,7.170119544218859
CC(C)c1ccc(C(=O)CCC(=O)O)cc1Cl,3,0,0,0,1,999.988222,6.907743500912776
O=C1NC2(CCN(CCc3ccccc3)CC2)C(=O)N1CCc1ccccc1,3,0,0,0,1,800.0254319,6.68464351703764
Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,4,0,0,0,0,10000.99826,9.210440192993898
CC(Cc1ccccc1Cl)OC(N)=O,3,0,0,0,1,899.9831514,6.80237604248241
CCN(CC)S(=O)(=O)c1ccc(OP(=O)(OC)OC)cc1,1,0,1,1,1,34.99958496,3.5553362031333893
O=[N+]([O-])C(Cc1ccccc1)[N+](=O)[O-],3,0,0,0,1,999.9898038,6.907745082730155
CC1CO1,2,0,0,1,1,440.0000002,6.086774727366852
O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1S(=O)(=O)O,3,0,0,0,1,1075.014409,6.980089344192864
O=[N+]([O-])c1ccccc1CN1Cc2c(sc3ccc(Cl)cc23)C(c2ccccc2)C1,2,0,0,1,1,399.9558567,5.991354182768062
C#CC(C)(CC)OC(=O)c1ccccc1,4,0,0,0,0,2099.968853,7.649677791696758
CC1Oc2cc(Br)c(Cl)cc2N(CC(O)CO)C1=O,3,0,0,0,1,1499.974329,7.313203272943856
COc1cccc(NCn2nc(-c3cc(Br)cc(Br)c3O)oc2=S)c1,3,0,0,0,1,1000.055422,6.907810699446395
CCCSC(=O)N(CCC)CCC,3,0,0,0,1,1219.994,7.106601219682422
CCC1(c2ccccc2)CC(=O)N(c2ccc(S(N)(=O)=O)cc2)C1=O,3,0,0,0,1,1999.893979,7.600849447636977
COc1ccc(N2CCN(CC3CN=C(N)O3)CC2)cc1OC,3,0,0,0,1,703.9934078,6.556768992193746
CC(=O)c1c(C)[nH]c(-c2ccc(F)cc2)c1N,3,0,0,0,1,999.9655555,6.907720833888912
COC(CNC(=NC1CCCCC1)NS(=O)(=O)c1ccc(Cl)cc1)OC,2,0,0,1,1,299.9762337,5.703703250518052
O=C(O)CC(=O)N1CCSC1COc1ccccc1O,3,0,0,0,1,999.9932738,6.907748552759516
Cc1cccc2sc3nncn3c12,2,0,0,1,1,244.996116,5.5012423573578415
NC1=NCC(CN2CCN(c3ccccn3)CC2)O1,2,0,0,1,1,499.9827806,6.2145736590291625
CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,4,0,0,0,0,7198.778704,8.88166666617185
C#CCOC(=O)C1=CCCN(C)C1,3,0,0,0,1,750.0041854,6.620078787048119
N=c1[nH]c(=S)ss1,3,0,0,0,1,1200.375367,7.090389592695881
NS(=O)(=O)CCN1CN(c2ccccc2)CC1=O,4,0,0,0,0,4999.888607,8.517170912568066
CCCNS(=O)(=O)c1ccc(OP(=S)(OC)OC)cc1,2,0,0,1,1,82.00604043,4.406792908331698
c1ccc(CNCCCC23CC4CC(CC(C4)C2)C3)cc1,3,0,0,0,1,600.0867854,6.397074287089786
COc1ccc(N=NC(=Nc2ccc(-c3n[nH]c(=S)o3)cc2)c2ccc(N(C)C)cc2)cc1,2,0,0,1,1,499.9487513,6.2145055957689745
O=S(=O)(O)c1cccc(Nc2nc(Nc3ccc(C=Cc4ccc(Nc5nc(Nc6cccc(S(=O)(=O)O)c6)nc(N(CCO)CCO)n5)cc4S(=O)(=O)O)c(S(=O)(=O)O)c3)nc(N(CCO)CCO)n2)c1,3,0,0,0,1,1619.957888,7.390155432826824
CCCCCCCCN(CCC#N)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,2,0,0,1,1,104.9956413,4.653918837867328
ON=CC1=CCCNC1,3,0,0,0,1,1000.007926,6.907763204950727
CCCCCNC(=O)c1ccccc1,3,0,0,0,1,954.9800276,6.861690426754186
CSc1nncc(-c2ccc(C)cc2)n1,2,0,0,1,1,299.9903357,5.703750259803975
CCC(C)(O)C#CC(=O)O,3,0,0,0,1,1774.773993,7.481428365915309
