,epoch,minibatch,trainstep,task,multiclass AUROC
0,0,19,0,tox,"tensor(0.4960, device='cuda:0')"
1,1,19,1,tox,"tensor(0.4847, device='cuda:0')"
2,2,19,2,tox,"tensor(0.4994, device='cuda:0')"
3,3,19,3,tox,"tensor(0.5084, device='cuda:0')"
4,4,19,4,tox,"tensor(0.5079, device='cuda:0')"
5,5,19,5,tox,"tensor(0.5075, device='cuda:0')"
6,6,19,6,tox,"tensor(0.5036, device='cuda:0')"
7,7,19,7,tox,"tensor(0.5057, device='cuda:0')"
8,8,19,8,tox,"tensor(0.5045, device='cuda:0')"
9,9,19,9,tox,"tensor(0.5038, device='cuda:0')"
10,10,19,10,tox,"tensor(0.5047, device='cuda:0')"
11,11,19,11,tox,"tensor(0.5051, device='cuda:0')"
12,12,19,12,tox,"tensor(0.5043, device='cuda:0')"
13,13,19,13,tox,"tensor(0.5048, device='cuda:0')"
14,14,19,14,tox,"tensor(0.5044, device='cuda:0')"
15,15,19,15,tox,"tensor(0.5049, device='cuda:0')"
16,16,19,16,tox,"tensor(0.5044, device='cuda:0')"
17,17,19,17,tox,"tensor(0.5046, device='cuda:0')"
18,18,19,18,tox,"tensor(0.5044, device='cuda:0')"
19,19,19,19,tox,"tensor(0.5034, device='cuda:0')"
20,20,19,20,tox,"tensor(0.5033, device='cuda:0')"
21,21,19,21,tox,"tensor(0.5028, device='cuda:0')"
22,22,19,22,tox,"tensor(0.5038, device='cuda:0')"
23,23,19,23,tox,"tensor(0.5038, device='cuda:0')"
24,24,19,24,tox,"tensor(0.5043, device='cuda:0')"
25,25,19,25,tox,"tensor(0.5043, device='cuda:0')"
26,26,19,26,tox,"tensor(0.5044, device='cuda:0')"
27,27,19,27,tox,"tensor(0.5038, device='cuda:0')"
28,28,19,28,tox,"tensor(0.5038, device='cuda:0')"
29,29,19,29,tox,"tensor(0.5037, device='cuda:0')"
30,30,19,30,tox,"tensor(0.5030, device='cuda:0')"
31,31,19,31,tox,"tensor(0.5027, device='cuda:0')"
32,32,19,32,tox,"tensor(0.5028, device='cuda:0')"
33,33,19,33,tox,"tensor(0.5028, device='cuda:0')"
34,34,19,34,tox,"tensor(0.5029, device='cuda:0')"
35,35,19,35,tox,"tensor(0.5019, device='cuda:0')"
36,36,19,36,tox,"tensor(0.5019, device='cuda:0')"
37,37,19,37,tox,"tensor(0.5018, device='cuda:0')"
38,38,19,38,tox,"tensor(0.5015, device='cuda:0')"
39,39,19,39,tox,"tensor(0.5013, device='cuda:0')"
40,40,19,40,tox,"tensor(0.5012, device='cuda:0')"
41,41,19,41,tox,"tensor(0.5011, device='cuda:0')"
42,42,19,42,tox,"tensor(0.5010, device='cuda:0')"
43,43,19,43,tox,"tensor(0.5012, device='cuda:0')"
44,44,19,44,tox,"tensor(0.5010, device='cuda:0')"
45,45,19,45,tox,"tensor(0.5007, device='cuda:0')"
46,46,19,46,tox,"tensor(0.5011, device='cuda:0')"
47,47,19,47,tox,"tensor(0.5012, device='cuda:0')"
48,48,19,48,tox,"tensor(0.5016, device='cuda:0')"
49,49,19,49,tox,"tensor(0.5009, device='cuda:0')"
