,epoch,minibatch,trainstep,task,multiclass accuracy
0,0,19,0,tox,"tensor(0.2032, device='cuda:0')"
1,1,19,1,tox,"tensor(0.2000, device='cuda:0')"
2,2,19,2,tox,"tensor(0.2151, device='cuda:0')"
3,3,19,3,tox,"tensor(0.2169, device='cuda:0')"
4,4,19,4,tox,"tensor(0.2155, device='cuda:0')"
5,5,19,5,tox,"tensor(0.2156, device='cuda:0')"
6,6,19,6,tox,"tensor(0.2143, device='cuda:0')"
7,7,19,7,tox,"tensor(0.2149, device='cuda:0')"
8,8,19,8,tox,"tensor(0.2129, device='cuda:0')"
9,9,19,9,tox,"tensor(0.2126, device='cuda:0')"
10,10,19,10,tox,"tensor(0.2103, device='cuda:0')"
11,11,19,11,tox,"tensor(0.2097, device='cuda:0')"
12,12,19,12,tox,"tensor(0.2094, device='cuda:0')"
13,13,19,13,tox,"tensor(0.2085, device='cuda:0')"
14,14,19,14,tox,"tensor(0.2097, device='cuda:0')"
15,15,19,15,tox,"tensor(0.2103, device='cuda:0')"
16,16,19,16,tox,"tensor(0.2093, device='cuda:0')"
17,17,19,17,tox,"tensor(0.2091, device='cuda:0')"
18,18,19,18,tox,"tensor(0.2087, device='cuda:0')"
19,19,19,19,tox,"tensor(0.2079, device='cuda:0')"
20,20,19,20,tox,"tensor(0.2083, device='cuda:0')"
21,21,19,21,tox,"tensor(0.2095, device='cuda:0')"
22,22,19,22,tox,"tensor(0.2101, device='cuda:0')"
23,23,19,23,tox,"tensor(0.2099, device='cuda:0')"
24,24,19,24,tox,"tensor(0.2102, device='cuda:0')"
25,25,19,25,tox,"tensor(0.2104, device='cuda:0')"
26,26,19,26,tox,"tensor(0.2094, device='cuda:0')"
27,27,19,27,tox,"tensor(0.2100, device='cuda:0')"
28,28,19,28,tox,"tensor(0.2091, device='cuda:0')"
29,29,19,29,tox,"tensor(0.2086, device='cuda:0')"
30,30,19,30,tox,"tensor(0.2083, device='cuda:0')"
31,31,19,31,tox,"tensor(0.2085, device='cuda:0')"
32,32,19,32,tox,"tensor(0.2084, device='cuda:0')"
33,33,19,33,tox,"tensor(0.2091, device='cuda:0')"
34,34,19,34,tox,"tensor(0.2092, device='cuda:0')"
35,35,19,35,tox,"tensor(0.2087, device='cuda:0')"
36,36,19,36,tox,"tensor(0.2091, device='cuda:0')"
37,37,19,37,tox,"tensor(0.2084, device='cuda:0')"
38,38,19,38,tox,"tensor(0.2077, device='cuda:0')"
39,39,19,39,tox,"tensor(0.2073, device='cuda:0')"
40,40,19,40,tox,"tensor(0.2076, device='cuda:0')"
41,41,19,41,tox,"tensor(0.2074, device='cuda:0')"
42,42,19,42,tox,"tensor(0.2080, device='cuda:0')"
43,43,19,43,tox,"tensor(0.2080, device='cuda:0')"
44,44,19,44,tox,"tensor(0.2090, device='cuda:0')"
45,45,19,45,tox,"tensor(0.2087, device='cuda:0')"
46,46,19,46,tox,"tensor(0.2092, device='cuda:0')"
47,47,19,47,tox,"tensor(0.2095, device='cuda:0')"
48,48,19,48,tox,"tensor(0.2095, device='cuda:0')"
49,49,19,49,tox,"tensor(0.2095, device='cuda:0')"
