SMILES,Category
CC[C@H]1CN2CC[C@@]3(C(=O)Nc4ccccc43)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,1
COc1cc2ccn3c(C)nnc3c2cc1OC,0
CCOc1cccc(C=O)c1O,1
CCOc1ccc(NC(=O)c2c(C)nsc2NC(=O)c2ccccc2)cc1,1
S=C1NCCCN1,0
NC(=O)[C@@]1(c2ccccc2)CCC(=O)O1,0
OCc1cc(Cl)c2cc(O)c(Oc3cccc4cc(Cl)cnc34)cc2c1,1
COC(CN1CCN(c2ccccc2C)CC1)c1cccnc1,1
COc1ccc(CCN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1OC,1
Cc1ccc(-n2c(Cc3c(C)[nH]c4ccccc34)n[nH]c2=S)cc1,1
C[C@H](Cc1ccccc1)N[C@@H](C#N)c1ccccc1,1
O=C/C=C(\Cl)c1ccc(F)cc1,1
Cc1cc(-n2c(-c3ccccc3)nc3ccc(Cl)cc3c2=O)on1,1
O=C1/C(=C/c2ccc3ccccc3c2)NC(=S)N1c1ccccc1,0
COCCOCCO,0
COc1cc2ccn3cnnc3c2cc1OC,1
CCN(CC)CCNC(=N)c1ccc(OC(C)C)cc1,1
COC(=O)C1=C(C)NC(COC(N)=O)=C(C(=O)OC(C)C)C1c1cccc(Cl)c1Cl,1
O=C(Nc1ccccc1)c1cc(O)c(O)c(O)c1,1
CC(C)=CCCC(C)CC=O,1
Cc1cc(-n2c(C)nc3ccccc3c2=O)on1,1
Cc1nc2ccccc2c(=O)n1C1CCC(=O)N(c2nccs2)C1=O,1
CCCCn1c(-c2ccc(OC)cc2)cn2c3c(=O)n(C)c(=O)n(C)c3nc12,1
COc1ccc(C(=O)/C=C/Cl)cc1,1
CCN(CC)C[C@@H](C)OC(=O)COc1ccc(Cl)cc1,1
Cc1ccccc1OCC(=O)N1CC1,0
CCSc1nn2c(=O)c3sc4ccccc4c3nc2s1,0
COc1ccccc1C(=O)NCC(=O)N(C)C,0
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],1
O=C1/C(=C\C=C\c2ccccc2)SC(=S)N1CNc1ccccc1,1
Cn1c2c(c3ccccc31)CCN1[C@@H]2[C@H]2CCCCN2[C@H]1c1ccccc1,1
Cc1c(NS(=O)(=O)CCN)c(=O)n(-c2ccccc2)n1C,0
CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@H]1O[C@@H]1C(=O)O,0
O=[N+]([O-])c1cc(I)c(O)c(I)c1,1
CC(=O)C(O)(O)C(=O)O,0
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl,0
CCN(CC)CCN(Cc1ccccc1)c1nccc(C)n1,1
COc1ccc2c(c1O)N(CCCN(C)C)c1cc(Cl)ccc1S2,1
CC(=O)COc1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,0
CCCC#N,1
CCOC(=O)CN(CC(C)C)CC(C)C,1
C=CCN(CC=C)C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,1
CCC[C@@]1(c2ccccc2)O[C@@H](COC(N)=O)CS1,0
CCOc1ccccc1N1CCN(CCc2ccc(OC)c(OC)c2)CC1,1
O=C1CN(/N=C/C(=O)c2ccc([N+](=O)[O-])o2)C(=O)N1,1
CCOc1cc(OCC)c(C(=O)CCC(=O)O)cc1OCC,0
C=CCNC(=S)NNC(=O)Cc1c(C)[nH]c2ccccc12,1
O=CC(=O)c1ccc(F)c(F)c1,0
O=C1/C(=C\c2cccc(F)c2)SC(=S)N1CN1CCOCC1,0
O=C(/C=N/N1CCOC1=O)c1ccc([N+](=O)[O-])o1,1
CSc1nc(N)cc(Nc2nc(C)ccc2S)n1,1
O=C1/C(=C\C=C\c2ccccc2)SC(=S)N1CN1CCN(c2ccc(Cl)cc2)CC1,0
Cc1nn2c(=O)c3sc4ccccc4c3nc2s1,0
COc1ccccc1N1CCN(CC(O)c2ccccn2)CC1,1
COc1cc(Nc2nc(C)ccc2S)nc(OC)n1,1
Cc1nnc(-c2ccccc2)s1,1
COC(=O)[C@@H](F)C(F)(F)F,0
CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)cc1,1
Cc1[nH]c2ccccc2c1CC(=O)NNC(=S)Nc1ccc(Cl)cc1,1
Cc1ncc2c(=O)n(CCCN3CCN(c4ncccn4)CC3)c(=S)n(-c3ccccc3)c2n1,0
C[C@@H](O)CO,0
Cc1ccc(NN)cc1,1
CSCCn1c(=O)oc2ccc(F)cc21,0
COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC,1
O=C1/C(=C/c2ccc3ccccc3c2)NC(=S)N1c1ccc(Cl)cc1,0
Clc1ccccc1N1CCN(CCc2ccccn2)CC1,1
O=c1c2cn[nH]c2nc2scc(-c3ccc(F)cc3)n12,1
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
NCCCC(=O)O,0
Cc1c(Nc2ccccc2C(=O)O)ccc(O)c1Cl,1
CCOCCOCCO,0
O=c1c2cn[nH]c2nc2scc(-c3ccc(Cl)cc3)n12,1
Cn1c(=O)c2c(ncn2CCSC#N)n(C)c1=O,1
O=C(NCc1nc2ccccc2c(=O)n1CCc1ccc(O)c(O)c1)c1ccccc1,0
OCc1cccc2cc(Oc3cccc4cccnc34)c(O)cc12,1
COc1cccc(/C=C2\NC(=S)N(c3ccc(Br)cc3)C2=O)c1OC,0
C1COCCO1,0
CCCCCCCCCCCCCCCCCC(=O)N(C)C,0
C[S@](=O)c1ccc(-c2cn3cccnc3n2)cc1,0
O=C(Oc1cccc2cccnc12)c1ccccc1O,1
c1ccc([Hg]S[Hg]c2ccccc2)cc1,1
Cc1ccc(-c2cn3c4c(=O)n(C)c(=O)n(C)c4nc3n2-c2ccccc2)cc1,0
CN(C)CCNC(=O)COc1ccc(Cl)cc1,0
COc1c(O)cc2occ(-c3ccc(O)cc3)c(=O)c2c1O,0
COC(CN1CCN(c2ccccc2)CC1)c1cccnc1,1
CCc1nc2cc(C)ccc2c(=O)n1-c1cc(C)no1,1
CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(C)[C@@H]1N2C,1
O=C(CBr)C(=O)CBr,1
CCC(CC)C(=O)N/C(=C\c1ccc(OC)cc1)C(=O)O,0
Cc1[nH]c2ccccc2c1CC(=O)NNC(=S)Nc1ccc(Br)cc1,1
CCC(=O)/C=C/Cl,1
CCCCCCCC(=O)N(C)C,0
CC[N+]1(CCO)CC1,1
COc1ccc(C(=O)CC2(O)C(=O)c3ccccc3C2=O)cc1OC,0
